Experiment	STML
1.002820776e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685765e-08	8380000	6.0	870.9324285103593
1.00287426e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06852318e-08	8390000	6.0	871.351178176112
1.0010242839999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06852106e-08	8400000	-5.0	871.7699161313316
1.0015597400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068552739999999e-08	8410000	6.0	872.1886423705608
1.0030614200000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068521780000001e-08	8420000	16.0	872.6073568883435
1.0014632800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849548e-08	8430000	8.0	873.0260596792228
1.0011813499999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685242e-08	8440000	6.0	873.4447507377441
1.00228208e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068534420000001e-08	8450000	4.0	873.8634300584514
1.0025754719999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06850172e-08	8460000	11.0	874.2820976358909
1.0002062139999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068520920000001e-08	8470000	-5.0	874.7007534646083
1.0022492599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068531579999999e-08	8480000	10.0	875.1193975391503
1.0026078999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068507699999999e-08	8490000	2.0	875.5380298540639
1.0009197199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06851454e-08	8500000	-2.0	875.9566504038974
1.0011767240000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068547060000001e-08	8510000	3.0	876.3752591831983
1.0029152999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06851736e-08	8520000	7.0	876.7938561865155
1.001257642e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685239e-08	8530000	9.0	877.2124414083986
1.0006209400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854194e-08	8540000	13.0	877.6310148433971
1.0025312200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068552020000001e-08	8550000	2.0	878.0495764860615
1.0012636200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855616e-08	8560000	3.0	878.4681263309428
1.001910168e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854978e-08	8570000	1.0	878.8866643725927
1.000967316e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856796e-08	8580000	6.0	879.3051906055628
1.00197092e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06858516e-08	8590000	2.0	879.7237050244053
1.0028706999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857108e-08	8600000	1.0	880.1422076236739
1.000890204e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068557580000001e-08	8610000	3.0	880.5606983979224
1.001529464e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068591699999999e-08	8620000	5.0	880.9791773417043
1.00272694e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068568660000001e-08	8630000	3.0	881.397644449575
1.0023024399999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685401e-08	8640000	15.0	881.8160997160892
1.0003195000000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855856e-08	8650000	4.0	882.2345431358029
1.0027229999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856894e-08	8660000	1.0	882.6529747032727
1.00167174e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854322e-08	8670000	9.0	883.0713944130553
1.001952058e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855658e-08	8680000	-2.0	883.4898022597079
1.0025057e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068547499999999e-08	8690000	0.0	883.9081982377887
1.0012522180000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685364e-08	8700000	14.0	884.3265823418567
1.002068162e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068537819999999e-08	8710000	-6.0	884.7449545664703
1.00216126e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068529160000001e-08	8720000	15.0	885.1633149061893
1.001092526e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685249e-08	8730000	3.0	885.5816633555739
1.00144572e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855958e-08	8740000	12.0	885.999999909185
1.00327334e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685371e-08	8750000	4.0	886.4183245615842
1.001431678e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06851156e-08	8760000	7.0	886.8366373073322
1.0005924800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855772e-08	8770000	19.0	887.2549381409923
1.0030072e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685347e-08	8780000	4.0	887.6732270571272
1.0021628779999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684888e-08	8790000	13.0	888.0915040503002
1.0001032239999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854918e-08	8800000	16.0	888.5097691150756
1.0029276419999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068548879999998e-08	8810000	5.0	888.9280222460179
1.0020011200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06851068e-08	8820000	7.0	889.3462634376918
1.0007108759999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854282e-08	8830000	5.0	889.7644926846638
1.001529118e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856938e-08	8840000	5.0	890.1827099814997
1.0026760740000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855786e-08	8850000	6.0	890.6009153227657
1.000764872e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068553880000001e-08	8860000	1.0	891.0191087030299
1.0010628399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06859268e-08	8870000	-6.0	891.4372901168599
1.0027801379999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06859098e-08	8880000	1.0	891.8554595588242
1.001609048e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855902e-08	8890000	7.0	892.2736170234917
1.000485466e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06859452e-08	8900000	1.0	892.6917625054324
1.00238758e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06860748e-08	8910000	-1.0	893.1098959992157
1.0029240000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068571780000001e-08	8920000	3.0	893.528017499412
1.001615706e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068556880000001e-08	8930000	-2.0	893.9461270005934
1.0023362140000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068557159999999e-08	8940000	-10.0	894.3642244973316
1.0017128180000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068540940000001e-08	8950000	5.0	894.7823099841983
1.001606312e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068540940000001e-08	8960000	4.0	895.2003834557669
1.0020927199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068534559999999e-08	8970000	14.0	895.6184449066103
1.0019519599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068527179999999e-08	8980000	4.0	896.0364943313026
1.001126588e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06853186e-08	8990000	7.0	896.4545317244189
1.00362334e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06852362e-08	9000000	3.0	896.8725570805336
1.000857658e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06850784e-08	9010000	12.0	897.2905703942229
1.0023349999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068508e-08	9020000	7.0	897.7085716600623
1.0019406800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849518e-08	9030000	-16.0	898.1265608726293
1.0010233479999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06850572e-08	9040000	6.0	898.5445380265008
1.00283886e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068494940000001e-08	9050000	8.0	898.9625031162552
1.0019430779999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068470760000001e-08	9060000	10.0	899.3804561364705
1.0016642399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848242e-08	9070000	0.0	899.7983970817252
1.0016596619999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068487919999999e-08	9080000	9.0	900.2163259465997
1.0023055999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068482119999999e-08	9090000	14.0	900.6342427256739
1.00128304e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068485520000001e-08	9100000	2.0	901.0521474135285
1.0018679720000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848766e-08	9110000	13.0	901.4700400047442
1.001067176e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068498759999999e-08	9120000	-4.0	901.8879204939038
1.000742908e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854708e-08	9130000	-9.0	902.3057888755885
1.0026532e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068531840000001e-08	9140000	9.0	902.7236451443821
1.0011355320000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06851622e-08	9150000	10.0	903.1414892948683
1.0011131999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855886e-08	9160000	-2.0	903.5593213216301
1.0021875999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855646e-08	9170000	2.0	903.9771412192529
1.0010556280000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685502e-08	9180000	28.0	904.3949489823215
1.001311956e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06859738e-08	9190000	-2.0	904.8127446054222
1.0022604399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068586e-08	9200000	1.0	905.2305280831404
1.001361798e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856898e-08	9210000	4.0	905.6482994100638
1.000987114e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685975e-08	9220000	2.0	906.0660585807797
1.0019045e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06861428e-08	9230000	8.0	906.4838055898757
1.0029336599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068590560000001e-08	9240000	-8.0	906.9015404319404
1.0012813240000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068584e-08	9250000	3.0	907.3192631015633
1.002228102e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06860192e-08	9260000	6.0	907.7369735933339
1.00291496e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855486e-08	9270000	-2.0	908.1546719018422
1.0009955799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06853712e-08	9280000	8.0	908.5723580216795
1.00186698e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068559560000001e-08	9290000	-3.0	908.9900319474365
1.00310996e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06852518e-08	9300000	-1.0	909.4076936737061
1.001939184e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06850286e-08	9310000	12.0	909.8253431950806
1.0028174000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068486100000001e-08	9320000	11.0	910.2429805061525
1.0026767999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845642e-08	9330000	-1.0	910.6606056015158
1.0013094080000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068439359999999e-08	9340000	18.0	911.0782184757649
1.001845256e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845942e-08	9350000	1.0	911.4958191234942
1.00150044e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684439e-08	9360000	1.0	911.9134075392999
1.001824338e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845214e-08	9370000	7.0	912.3309837177766
1.001564288e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846152e-08	9380000	-5.0	912.7485476535221
1.0033302800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684166e-08	9390000	-1.0	913.1660993411328
1.001642548e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068410939999999e-08	9400000	6.0	913.5836387752069
1.0008232500000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844488e-08	9410000	-12.0	914.0011659503418
1.0021258519999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845244e-08	9420000	16.0	914.418680861137
1.0009490879999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068445020000001e-08	9430000	-2.0	914.8361835021913
1.000896614e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849364e-08	9440000	-2.0	915.2536738681054
1.00211232e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06850174e-08	9450000	8.0	915.6711519534792
1.0010808320000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06850584e-08	9460000	13.0	916.0886177529134
1.0009419719999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068535979999999e-08	9470000	12.0	916.5060712610108
1.00212116e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685475e-08	9480000	0.0	916.923512472373
1.001991808e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854196e-08	9490000	2.0	917.3409413816029
1.0006773680000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855374e-08	9500000	-19.0	917.7583579833038
1.0013733920000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857138e-08	9510000	4.0	918.1757622720799
1.0017194439999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857844e-08	9520000	3.0	918.5931542425355
1.0015348199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685792e-08	9530000	-13.0	919.0105338892755
1.00153485e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06858754e-08	9540000	4.0	919.4279012069059
1.00243408e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068593119999999e-08	9550000	-1.0	919.8452561900328
1.0017334999999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856978e-08	9560000	12.0	920.2625988332633
1.001549266e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068589e-08	9570000	8.0	920.6799291312044
1.002423e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857762e-08	9580000	13.0	921.0972470784648
1.00220064e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855502e-08	9590000	-5.0	921.5145526696523
1.00133698e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855444e-08	9600000	13.0	921.9318458993757
1.0025870600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068553479999999e-08	9610000	2.0	922.349126762246
1.00258798e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068513380000001e-08	9620000	8.0	922.7663952528727
1.0020759999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068488380000001e-08	9630000	-14.0	923.1836513658673
1.001214922e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06851382e-08	9640000	-18.0	923.6008950958401
1.0032679e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848934e-08	9650000	6.0	924.018126437404
1.001872994e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068448720000001e-08	9660000	11.0	924.4353453851718
1.0012743120000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684665e-08	9670000	6.0	924.8525519337562
1.0029823800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846294e-08	9680000	-2.0	925.2697460777712
1.0017238400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06842172e-08	9690000	12.0	925.6869278118307
1.0002344760000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845612e-08	9700000	-3.0	926.1040971305501
1.0031411600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846166e-08	9710000	3.0	926.5212540285454
1.0023057780000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068421e-08	9720000	3.0	926.9383985004313
1.0006669959999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845016e-08	9730000	7.0	927.3555305408258
1.0022353839999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846064e-08	9740000	-8.0	927.7726501443459
1.002082348e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06842612e-08	9750000	-1.0	928.1897573056094
1.000256956e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846762e-08	9760000	-3.0	928.6068520192341
1.0017718479999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849774e-08	9770000	1.0	929.0239342798398
1.0026714800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845924e-08	9780000	8.0	929.4410040820455
9.99883998e-11	3.0	4.6357826e-08	-4.0125183e-08	-7.068493080000001e-08	9790000	1.0	929.8580614204722
1.002012088e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06852376e-08	9800000	11.0	930.2751062897397
1.00216682e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06851082e-08	9810000	0.0	930.6921386844703
1.0011107460000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06851096e-08	9820000	11.0	931.1091585992848
1.0017256999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685401e-08	9830000	-11.0	931.5261660288073
1.00228138e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06852304e-08	9840000	5.0	931.9431609676595
1.0014586260000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068518640000001e-08	9850000	2.0	932.3601434104656
1.001114506e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854906e-08	9860000	1.0	932.77711335185
1.00169778e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068562120000001e-08	9870000	7.0	933.1940707864377
1.0019454e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854734e-08	9880000	4.0	933.6110157088536
1.001515318e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685556e-08	9890000	-7.0	934.027948113724
1.00223437e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855984e-08	9900000	-1.0	934.444867995676
1.0018925639999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06853544e-08	9910000	-12.0	934.8617753493361
1.00212666e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685283e-08	9920000	6.0	935.2786701693332
1.0028005199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06851082e-08	9930000	-5.0	935.6955524502945
1.0009339200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068506139999999e-08	9940000	-3.0	936.1124221868492
1.0023460800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06851668e-08	9950000	-5.0	936.5292793736277
1.00217314e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848268e-08	9960000	2.0	936.9461240052591
1.00189052e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848354e-08	9970000	2.0	937.3629560763752
1.0018540999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684868e-08	9980000	15.0	937.7797755816068
1.0024251400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846266e-08	9990000	6.0	938.1965825155859
1.0015947999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068453980000001e-08	10000000	-7.0	938.6133768729447
1.0022308e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684628e-08	10010000	-6.0	939.0301586483167
1.00168386e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068446600000001e-08	10020000	-5.0	939.4469278363357
1.001532696e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684479e-08	10030000	2.0	939.8636844316362
1.0020092599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068451020000001e-08	10040000	-8.0	940.2804284288525
1.00241792e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844658e-08	10050000	1.0	940.6971598226207
1.00141592e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684311e-08	10060000	-6.0	941.1138786075765
1.0013130999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845284e-08	10070000	1.0	941.5305847783569
1.001333e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684564e-08	10080000	-12.0	941.9472783295987
1.00175646e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846266e-08	10090000	-10.0	942.36395925594
1.00168989e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068480959999999e-08	10100000	9.0	942.7806275520194
1.0015034939999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847418e-08	10110000	-16.0	943.1972832124758
1.0013436800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849732e-08	10120000	-1.0	943.6139262319491
1.00166023e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685175e-08	10130000	-12.0	944.0305566050796
1.0021739019999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849704e-08	10140000	-8.0	944.4471743265078
1.000647782e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068513240000001e-08	10150000	-10.0	944.8637793908755
1.0012993340000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068543780000001e-08	10160000	-3.0	945.2803717928242
1.002838956e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06852532e-08	10170000	-8.0	945.6969515269975
1.0009435799999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06853086e-08	10180000	5.0	946.1135185880377
1.00184848e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685347e-08	10190000	9.0	946.5300729705891
1.0023408599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068528039999999e-08	10200000	-3.0	946.9466146692962
1.001263122e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06853012e-08	10210000	10.0	947.3631436788033
1.0020864999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06853952e-08	10220000	11.0	947.7796599937572
1.00236578e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068515099999999e-08	10230000	6.0	948.1961636088037
1.0019491799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849918e-08	10240000	10.0	948.6126545185891
1.00192952e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684905e-08	10250000	-6.0	949.0291327177617
1.0021744e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068485959999999e-08	10260000	-2.0	949.4455982009687
1.0022577999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846364e-08	10270000	1.0	949.8620509628594
1.001497294e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068459240000001e-08	10280000	7.0	950.2784909980826
1.0025996940000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845084e-08	10290000	-14.0	950.6949183012885
1.00177692e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843892e-08	10300000	17.0	951.1113328671269
1.00209686e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068436640000001e-08	10310000	-1.0	951.52773469025
1.001210494e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843322e-08	10320000	-9.0	951.9441237653082
1.00219952e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844374e-08	10330000	-8.0	952.3605000869547
1.0017584399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684314e-08	10340000	-9.0	952.7768636498416
1.001149804e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844078e-08	10350000	11.0	953.1932144486229
1.001917034e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844616e-08	10360000	2.0	953.6095524779524
1.0016089680000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068460260000001e-08	10370000	10.0	954.0258777324851
1.0021760599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068446620000001e-08	10380000	-12.0	954.4421902068757
1.00104528e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068446159999999e-08	10390000	-12.0	954.858489895781
1.002141412e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845696e-08	10400000	-4.0	955.274776793856
1.0014665519999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845724e-08	10410000	-9.0	955.6910508957591
1.0003814780000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848852e-08	10420000	3.0	956.1073121961476
1.0029947999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847786e-08	10430000	1.0	956.5235606896798
1.000881518e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068483660000001e-08	10440000	-9.0	956.9397963710144
1.00157398e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068510260000001e-08	10450000	-9.0	957.3560192348111
1.0018135359999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685151e-08	10460000	2.0	957.7722292757296
1.001978234e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849676e-08	10470000	-5.0	958.1884264884318
1.000924774e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685154e-08	10480000	0.0	958.6046108675777
1.0019151000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06853002e-08	10490000	0.0	959.0207824078301
1.0012983959999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854464e-08	10500000	-10.0	959.436941103851
1.0012258380000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854648e-08	10510000	3.0	959.8530869503038
1.002249e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068564400000001e-08	10520000	7.0	960.2692199418525
1.0017608399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068548180000001e-08	10530000	-12.0	960.6853400731611
1.002100444e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685448e-08	10540000	-1.0	961.1014473388947
1.0020745199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854606e-08	10550000	-10.0	961.5175417337189
1.00278962e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06850914e-08	10560000	-11.0	961.9336232522999
1.00174542e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068488820000001e-08	10570000	6.0	962.349691889305
1.0015811199999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684898e-08	10580000	-7.0	962.7657476394007
1.00250962e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847288e-08	10590000	-3.0	963.1817904972559
1.0024682e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068447039999999e-08	10600000	-7.0	963.5978204575388
1.0013903040000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068452999999999e-08	10610000	-1.0	964.0138375149188
1.001687416e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684601e-08	10620000	-2.0	964.4298416640655
1.00195784e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684483e-08	10630000	-1.0	964.8458328996497
1.0021433599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068450280000001e-08	10640000	-9.0	965.2618112163425
1.0019745799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068440619999999e-08	10650000	-18.0	965.6777766088154
1.001965932e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068427699999999e-08	10660000	1.0	966.0937290717412
1.00167502e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068438220000001e-08	10670000	-6.0	966.5096685997928
1.001475748e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068422719999999e-08	10680000	4.0	966.9255951876429
